lead_id,first_name,last_name,email,company,lead_source,lead_status,is_mql,created_date,converted_account_id,converted_date
LEAD000032,Maya,Kearney,maya.kearney32@gmail.com,Blackwood Partners,Conference,Working,true,2024-08-31,,
LEAD000033,Priya,Ahmed,priya.ahmed33@compass.com,Summit Realty,,Disqualified,false,2023-04-17,,
LEAD000034,Camille,Okonkwo,camille.okonkwo34@outlook.com,Meridian Real Estate,Cold Outreach,New,false,2025-08-18,,
LEAD000035,Rowan,Kaplan,rowan.kaplan35@gmail.com,Beacon Properties,Referral,Qualified,false,2024-11-15,ACC00828,2025-01-08
LEAD000036,Casey,Nakamura,casey.nakamura36@compass.com,Blackwood Real Estate,Webinar,New,false,2025-11-09,,
LEAD000037,Felix,Delgado,felix.delgado37@kw.com,Cornerstone Real Estate,,New,false,2025-10-05,,
LEAD000038,Marcus,Thornton,marcus.thornton38@compass.com,Blackwood Group,Partner,Working,true,2023-10-06,,
LEAD000039,Morgan,Osei,morgan.osei39@compass.com,Cornerstone & Co.,,New,false,2024-06-06,,
LEAD000040,Elena,Castellanos,elena.castellanos40@outlook.com,Ridgeline & Co.,Referral,Disqualified,false,2026-03-26,,
LEAD000041,Jordan,Bergstrom,jordan.bergstrom41@outlook.com,Blackwood Realty,Paid Search,New,false,2024-05-26,,
LEAD000042,Bianca,Whitfield,bianca.whitfield42@kw.com,Ridgeline Properties,organic search,Working,false,2024-03-06,,
LEAD000043,Morgan,Thornton,morgan.thornton43@realtyco.com,Beacon & Co.,Partner,Nurturing,true,2024-10-27,,
LEAD000044,Naomi,Castellanos,naomi.castellanos44@outlook.com,Beacon Partners,Partner,Qualified,false,2024-02-28,,
LEAD000045,Tessa,Okonkwo,tessa.okonkwo45@kw.com,Cypress Group,Paid Search,Qualified,true,2024-05-31,,
LEAD000046,Morgan,Lindqvist,morgan.lindqvist46@gmail.com,Beacon Real Estate,Conference,Working,true,2023-10-16,,
LEAD000047,Julian,Thornton,julian.thornton47@kw.com,Blackwood Properties,Webinar,Qualified,true,2024-09-12,ACC00721,2024-10-15
LEAD000048,Julian,Castellanos,julian.castellanos48@compass.com,Cypress & Co.,Webinar,Working,false,2023-02-05,,
LEAD000049,Morgan,Ahmed,morgan.ahmed49@compass.com,Blackwood & Co.,Conference,Working,true,2025-01-29,,
LEAD000050,Riley,Moreau,riley.moreau50@compass.com,Meridian Real Estate,Conference,Working,false,2024-05-09,,
LEAD000051,Owen,Nakamura,owen.nakamura51@gmail.com,Beacon Properties,PAID SEARCH,Qualified,true,2025-10-14,ACC00331,2025-11-07
LEAD000052,Felix,Lindqvist,felix.lindqvist52@outlook.com,Foxglove Partners,Conference,Working,false,2025-05-20,,
LEAD000053,Theo,Thornton,theo.thornton53@outlook.com,Lakeshore Realty,Partner,New,false,2023-07-16,,
LEAD000054,Priya,Thornton,priya.thornton54@kw.com,Cypress Realty,Webinar,Nurturing,false,2025-08-23,,
LEAD000055,Morgan,Castellanos,morgan.castellanos55@kw.com,Cypress & Co.,Partner,New,false,2024-04-18,,
LEAD000056,Riley,Moreau,riley.moreau56@outlook.com,Cornerstone Group,Social,Working,true,2026-01-28,,
LEAD000057,Elena,Whitfield,elena.whitfield57@compass.com,Beacon Properties,Partner,Working,true,2026-04-18,,
LEAD000058,Rowan,Moreau,rowan.moreau58@outlook.com,Summit Partners,Conference,Nurturing,false,2023-07-11,,
LEAD000059,Sasha,Nakamura,sasha.nakamura59@kw.com,Lakeshore Realty,Social,New,false,2023-01-14,,
LEAD000060,Riley,Bautista,riley.bautista60@kw.com,Stonebridge Group,Webinar,Working,false,2026-04-08,,
LEAD000061,Julian,Kearney,julian.kearney61@realtyco.com,Cornerstone Properties,Paid Search,Nurturing,false,2023-12-03,,
LEAD000062,Rowan,Okonkwo,rowan.okonkwo62@realtyco.com,Beacon Realty,Webinar,New,false,2024-01-03,,
LEAD000063,Grant,Rinaldi,grant.rinaldi63@realtyco.com,Foxglove Group,,Qualified,false,2024-04-07,,
LEAD000064,Tessa,Castellanos,tessa.castellanos64@outlook.com,Foxglove Partners, Referral,New,false,2023-05-10,,
LEAD000065,Morgan,Kaplan,morgan.kaplan65@kw.com,Cornerstone & Co.,,Working,false,2023-11-19,,
LEAD000066,Elena,Bautista,elena.bautista66@compass.com,Cypress & Co.,Cold Outreach,New,false,2026-02-10,,
LEAD000067,Bianca,Delgado,bianca.delgado67@realtyco.com,Meridian Properties,Partner,Qualified,false,2025-07-08,ACC00161,2025-07-31
LEAD000068,Avery,Delgado,avery.delgado68@gmail.com,Meridian Realty,Conference,Nurturing,false,2025-04-11,,
LEAD000069,Casey,Okonkwo,casey.okonkwo69@outlook.com,Summit Real Estate,Organic Search,Qualified,true,2024-04-15,ACC00089,2024-06-09
LEAD000070,Rowan,Castellanos,rowan.castellanos70@outlook.com,Cypress Real Estate,Paid Search,Disqualified,false,2024-05-07,,
LEAD000071,Riley,Vasquez,riley.vasquez71@outlook.com,Summit Partners,Organic Search,New,false,2025-12-11,,
LEAD000072,Camille,Delgado,camille.delgado72@outlook.com,Meridian Partners,Webinar,New,false,2023-10-14,,
LEAD000073,Riley,Osei,riley.osei73@realtyco.com,Lakeshore Realty,Organic Search,New,false,2026-01-24,,
LEAD000074,Jordan,Whitfield,jordan.whitfield74@outlook.com,Stonebridge & Co.,Paid Search,New,false,2023-02-25,,
LEAD000075,Bianca,Kaplan,bianca.kaplan75@compass.com,Foxglove Group,Webinar,Qualified,true,2023-06-19,ACC00733,2023-08-18
LEAD000076,Naomi,Whitfield,naomi.whitfield76@compass.com,Foxglove Group,Cold Outreach,Qualified,false,2023-11-03,,
LEAD000077,Elena,Nakamura,elena.nakamura77@kw.com,Cypress Realty,Referral,Nurturing,true,2023-06-24,,
LEAD000078,Marcus,Bautista,marcus.bautista78@kw.com,Beacon Realty,Cold Outreach,New,false,2023-03-28,,
LEAD000079,Jordan,Okonkwo,jordan.okonkwo79@realtyco.com,Harbor Group,Conference,Working,false,2023-01-06,,
LEAD000080,Elena,Bautista,elena.bautista80@kw.com,Ridgeline Group,Partner,New,false,2023-11-04,,
LEAD000081,Owen,Bergstrom,owen.bergstrom81@outlook.com,Meridian Partners,Cold Outreach,Working,false,2024-10-20,,
LEAD000082,Sasha,Okonkwo,sasha.okonkwo82@compass.com,Cypress Partners,Paid Search,Nurturing,true,2025-08-20,,
LEAD000083,Avery,Bautista,avery.bautista83@gmail.com,Harbor Partners,,Working,true,2024-01-14,,
LEAD000084,Owen,Moreau,owen.moreau84@outlook.com,Cypress Partners,Paid Search,Disqualified,false,2026-02-12,,
LEAD000085,Camille,Bergstrom,camille.bergstrom85@kw.com,Blackwood Properties,Webinar,Qualified,true,2025-11-22,ACC00635,2025-11-29
LEAD000086,Riley,Castellanos,riley.castellanos86@realtyco.com,Ironwood Group,Conference,Nurturing,true,2025-03-30,,
LEAD000087,Rowan,Osei,rowan.osei87@realtyco.com,Blackwood Realty,Cold Outreach,Qualified,true,2023-09-25,ACC00845,2023-10-04
LEAD000088,Jordan,Petrova,jordan.petrova88@realtyco.com,Blackwood Realty,Partner,Disqualified,false,2024-08-20,,
LEAD000089,Quinn,Petrova,quinn.petrova89@gmail.com,Foxglove Realty,Cold Outreach,Qualified,true,2024-04-14,ACC00003,2024-06-11
LEAD000090,Marcus,Osei,marcus.osei90@compass.com,Cypress Realty,Conference,Disqualified,false,2024-07-27,,
LEAD000091,Rowan,Moreau,rowan.moreau91@outlook.com,Blackwood Group,Webinar,Nurturing,false,2025-01-24,,
LEAD000092,Casey,Rinaldi,casey.rinaldi92@gmail.com,Blackwood Properties,Paid Search,Working,true,2026-06-03,,
LEAD000093,Skyler,Delgado,skyler.delgado93@realtyco.com,Stonebridge Realty,Webinar,Working,true,2024-12-28,,
LEAD000094,Rowan,Castellanos,rowan.castellanos94@gmail.com,Cypress Realty,Organic Search,Nurturing,true,2023-07-29,,
LEAD000095,Skyler,Bergstrom,skyler.bergstrom95@kw.com,Foxglove Group,Organic Search,New,false,2026-04-30,,
LEAD000096,Rowan,Okonkwo,rowan.okonkwo96@compass.com,Cypress Partners,Paid Search,Disqualified,false,2025-04-12,,
LEAD000097,Priya,Petrova,priya.petrova97@compass.com,Summit Realty,Social,Qualified,false,2023-07-15,,
LEAD000098,Skyler,Whitfield,skyler.whitfield98@compass.com,Cypress Realty,Organic Search,Nurturing,true,2023-03-02,,
LEAD000099,Noel,Vasquez,noel.vasquez99@compass.com,Harbor & Co.,Social,Working,false,2025-08-25,,
LEAD000100,Avery,Delgado,avery.delgado100@gmail.com,Harbor Group,Cold Outreach,Working,true,2025-03-13,,
LEAD000101,Morgan,Bautista,morgan.bautista101@outlook.com,Ironwood Real Estate,Conference,Working,true,2026-03-23,,
LEAD000102,Avery,Castellanos,avery.castellanos102@compass.com,Meridian Real Estate,Webinar,Qualified,true,2025-04-14,,
LEAD000103,Rowan,Rinaldi,rowan.rinaldi103@realtyco.com,Summit & Co.,Cold Outreach,New,false,2024-07-17,,
LEAD000104,Felix,Lindqvist,felix.lindqvist104@realtyco.com,Foxglove Realty,Partner,New,false,2023-09-24,,
LEAD000105,Priya,Bergstrom,priya.bergstrom105@gmail.com,Cypress & Co.,Partner,Disqualified,false,2025-10-05,,
LEAD000106,Morgan,Moreau,morgan.moreau106@gmail.com,Cornerstone Realty,Partner,New,false,2023-09-21,,
LEAD000107,Owen,Delgado,owen.delgado107@gmail.com,Ironwood Properties,Partner,Nurturing,false,2025-01-09,,
LEAD000108,Riley,Vasquez,riley.vasquez108@realtyco.com,Lakeshore Realty,Organic Search,Working,false,2024-03-11,,
LEAD000109,Owen,Kearney,owen.kearney109@kw.com,Ironwood Real Estate,Partner,Nurturing,true,2024-01-11,,
LEAD000110,Casey,Delgado,casey.delgado110@gmail.com,Cornerstone Group,Conference,Disqualified,false,2025-12-10,,
LEAD000111,Sasha,Whitfield,sasha.whitfield111@outlook.com,Beacon & Co.,Social,Working,false,2025-12-16,,
LEAD000112,Felix,Bautista,felix.bautista112@realtyco.com,Meridian & Co.,,Working,true,2023-10-07,,
LEAD000113,Morgan,Thornton,morgan.thornton113@compass.com,Stonebridge Realty,Paid Search ,Disqualified,false,2025-07-13,,
LEAD000114,Marcus,Lindqvist,marcus.lindqvist114@realtyco.com,Meridian Properties,Referral,Working,true,2026-03-21,,
LEAD000115,Theo,Osei,theo.osei115@compass.com,Meridian & Co.,Partner,Qualified,false,2026-03-18,,
LEAD000116,Grant,Rinaldi,grant.rinaldi116@compass.com,Cornerstone Properties,Conference,Qualified,true,2023-07-03,ACC00667,2023-08-15
LEAD000117,Morgan,Lindqvist,morgan.lindqvist117@outlook.com,Cornerstone Realty,Conference,Qualified,true,2023-02-13,,
LEAD000118,Rowan,Lindqvist,rowan.lindqvist118@gmail.com,Ironwood Real Estate,Partner,Nurturing,false,2023-10-17,,
LEAD000119,Sasha,Halvorsen,sasha.halvorsen119@kw.com,Summit & Co.,Partner,Working,true,2023-11-14,,
LEAD000120,Felix,Delgado,felix.delgado120@compass.com,Lakeshore & Co.,Webinar,Working,true,2024-09-25,,
LEAD000121,Owen,Castellanos,owen.castellanos121@kw.com,Foxglove Realty,Paid Search,Qualified,false,2026-02-23,,
LEAD000122,Maya,Osei,maya.osei122@compass.com,Lakeshore Real Estate,Paid Search,New,false,2024-11-30,,
LEAD000123,Grant,Castellanos,grant.castellanos123@compass.com,Ironwood Group,Conference,Nurturing,true,2025-06-08,,
LEAD000124,Riley,Delgado,riley.delgado124@outlook.com,Cornerstone Real Estate,Social,New,false,2023-01-31,,
LEAD000125,Priya,Vasquez,priya.vasquez125@outlook.com,Meridian Group,Conference,Qualified,false,2023-09-04,ACC00045,2023-09-16
LEAD000126,Elena,Okonkwo,elena.okonkwo126@compass.com,Ironwood Real Estate,Referral,New,false,2023-03-02,,
LEAD000127,Noel,Petrova,noel.petrova127@outlook.com,Harbor Realty,Paid Search,Working,false,2023-05-09,,
LEAD000128,Theo,Vasquez,theo.vasquez128@realtyco.com,Harbor Group,Paid Search,New,false,2023-02-22,,
LEAD000129,Naomi,Kaplan,naomi.kaplan129@compass.com,Beacon & Co.,Paid Search,Qualified,true,2024-10-20,ACC00360,2024-12-17
LEAD000130,Casey,Okonkwo,casey.okonkwo130@kw.com,Beacon Partners,Webinar,Working,true,2025-01-24,,
LEAD000131,Noel,Nakamura,noel.nakamura131@kw.com,Foxglove Properties,Social,Qualified,true,2023-04-30,,
LEAD000132,Devin,Whitfield,devin.whitfield132@gmail.com,Ridgeline Real Estate,Organic Search,Qualified,false,2026-02-11,ACC00622,2026-03-10
LEAD000133,Theo,Kaplan,theo.kaplan133@gmail.com,Cornerstone Properties,Paid Search,Nurturing,true,2024-06-23,,
LEAD000134,Rowan,Kaplan,rowan.kaplan134@outlook.com,Lakeshore Partners,Cold Outreach,Disqualified,false,2023-09-29,,
LEAD000135,Morgan,Rinaldi,morgan.rinaldi135@outlook.com,Foxglove Realty,Organic Search,Disqualified,false,2026-01-20,,
LEAD000136,Riley,Nakamura,riley.nakamura136@realtyco.com,Ridgeline Partners,Partner,Qualified,true,2023-01-01,ACC00114,2023-02-05
LEAD000137,Bianca,Thornton,bianca.thornton137@compass.com,Blackwood Group,Organic Search,Disqualified,false,2025-02-09,,
LEAD000138,Elena,Okonkwo,elena.okonkwo138@gmail.com,Ironwood Group,,Qualified,true,2023-12-12,ACC00842,2023-12-17
LEAD000139,Jordan,Bergstrom,jordan.bergstrom139@gmail.com,Ridgeline Partners,Webinar,Qualified,false,2025-07-14,ACC00756,2025-08-20
LEAD000140,Camille,Bautista,camille.bautista140@kw.com,Meridian Real Estate,,Qualified,false,2023-12-15,ACC00532,2024-02-12
LEAD000141,Morgan,Delgado,morgan.delgado141@kw.com,Stonebridge & Co.,Partner,Nurturing,true,2024-06-18,,
LEAD000142,Rowan,Osei,rowan.osei142@realtyco.com,Ironwood Realty,Webinar,Qualified,true,2024-04-19,ACC00034,2024-06-04
LEAD000143,Bianca,Rinaldi,bianca.rinaldi143@kw.com,Ironwood & Co.,Social,Nurturing,false,2023-02-16,,
LEAD000144,Morgan,Rinaldi,morgan.rinaldi144@kw.com,Cypress Properties,Paid Search,Working,false,2025-09-06,,
LEAD000145,Avery,Thornton,avery.thornton145@outlook.com,Ridgeline Properties,Partner,New,false,2023-01-05,,
LEAD000146,Naomi,Thornton,naomi.thornton146@realtyco.com,Cypress Partners,Referral,Qualified,false,2024-11-02,ACC00410,2024-12-24
LEAD000147,Grant,Ahmed,grant.ahmed147@outlook.com,Lakeshore Real Estate,Referral,Qualified,true,2025-04-09,ACC00340,2025-05-18
LEAD000148,Julian,Okonkwo,julian.okonkwo148@compass.com,Summit Properties,Conference,Qualified,true,2026-02-15,ACC00320,2026-04-09
LEAD000149,Jordan,Vasquez,jordan.vasquez149@compass.com,Stonebridge & Co.,Webinar,Nurturing,true,2023-03-11,,
LEAD000150,Marcus,Castellanos,marcus.castellanos150@compass.com,Foxglove Realty,Cold Outreach,Nurturing,true,2024-09-02,,
LEAD000151,Marcus,Thornton,marcus.thornton151@kw.com,Harbor Group,Social,Qualified,false,2025-07-14,ACC00037,2025-08-27
LEAD000152,Rowan,Kearney,rowan.kearney152@outlook.com,Summit Real Estate,Social,New,false,2025-04-02,,
LEAD000153,Julian,Ahmed,julian.ahmed153@compass.com,Beacon Partners,organic search,Nurturing,true,2025-02-18,,
LEAD000154,Theo,Osei,theo.osei154@outlook.com,Lakeshore Real Estate,Social,New,false,2025-11-01,,
LEAD000155,Bianca,Delgado,bianca.delgado155@outlook.com,Foxglove & Co.,Paid Search,Qualified,false,2025-10-08,ACC00501,2025-11-21
LEAD000156,Devin,Okonkwo,devin.okonkwo156@compass.com,Lakeshore & Co.,Paid Search,Qualified,true,2024-07-05,ACC00348,2024-08-23
LEAD000157,Jordan,Whitfield,jordan.whitfield157@realtyco.com,Blackwood Properties,Referral,Qualified,false,2023-09-13,ACC00670,2023-10-09
LEAD000158,Noel,Rinaldi,noel.rinaldi158@compass.com,Blackwood Properties,Partner,Working,true,2026-04-30,,
LEAD000159,Naomi,Castellanos,naomi.castellanos159@compass.com,Meridian Realty,Conference,Qualified,true,2025-12-26,ACC00697,2026-01-10
LEAD000160,Quinn,Ahmed,quinn.ahmed160@kw.com,Ridgeline Group,Cold Outreach,Qualified,true,2023-06-13,,
LEAD000161,Bianca,Nakamura,bianca.nakamura161@compass.com,Meridian & Co.,Webinar,Working,true,2025-04-06,,
LEAD000162,Rowan,Bautista,rowan.bautista162@kw.com,Cypress Group,Partner,New,false,2023-08-06,,
LEAD000163,Noel,Kearney,noel.kearney163@outlook.com,Summit Properties,Paid Search,Qualified,true,2024-10-26,ACC00306,2024-11-14
LEAD000164,Theo,Moreau,theo.moreau164@outlook.com,Summit Properties,organic search,Nurturing,true,2025-11-15,,
LEAD000165,Maya,Vasquez,maya.vasquez165@realtyco.com,Cornerstone Partners,Webinar,New,false,2026-04-06,,
LEAD000166,Marcus,Kaplan,marcus.kaplan166@realtyco.com,Cornerstone Realty,Conference,Working,true,2024-10-28,,
LEAD000167,Quinn,Thornton,quinn.thornton167@kw.com,Beacon Group,Partner,Qualified,true,2024-03-15,ACC00132,2024-04-02
LEAD000168,Theo,Ahmed,theo.ahmed168@realtyco.com,Ridgeline Partners,Organic Search,New,false,2023-11-03,,
LEAD000169,Noel,Bautista,noel.bautista169@outlook.com,Beacon Realty,Social,Nurturing,true,2023-09-07,,
LEAD000170,Casey,Bergstrom,casey.bergstrom170@realtyco.com,Cypress Partners,Cold Outreach,Disqualified,false,2025-11-19,,
LEAD000171,Tessa,Okonkwo,tessa.okonkwo171@kw.com,Blackwood Group,Partner,Working,false,2024-10-26,,
LEAD000172,Casey,Halvorsen,casey.halvorsen172@realtyco.com,Cypress & Co.,Cold Outreach,Disqualified,false,2024-11-22,,
LEAD000173,Priya,Osei,priya.osei173@outlook.com,Blackwood Real Estate,Cold Outreach,Qualified,false,2025-01-14,ACC00051,2025-02-18
LEAD000174,Riley,Osei,riley.osei174@gmail.com,Ridgeline Group,Paid Search,Disqualified,false,2024-11-11,,
LEAD000175,Devin,Bergstrom,devin.bergstrom175@gmail.com,Lakeshore Group,,Working,true,2026-04-15,,
LEAD000176,Avery,Vasquez,avery.vasquez176@kw.com,Cypress & Co.,,New,false,2024-11-27,,
LEAD000177,Quinn,Moreau,quinn.moreau177@compass.com,Ironwood Partners,Conference,Nurturing,true,2024-08-04,,
LEAD000178,Maya,Halvorsen,maya.halvorsen178@kw.com,Beacon & Co.,Social,Qualified,false,2023-10-23,,
LEAD000179,Felix,Lindqvist,felix.lindqvist179@outlook.com,Lakeshore Group,Referral,Qualified,true,2025-04-26,,
LEAD000180,Riley,Bautista,riley.bautista180@outlook.com,Cornerstone Realty,Referral,New,false,2024-03-23,,
LEAD000181,Casey,Delgado,casey.delgado181@kw.com,Stonebridge Realty,Referral,Qualified,false,2026-05-27,ACC00473,2026-06-02
LEAD000182,Owen,Bergstrom,owen.bergstrom182@compass.com,Beacon Group,Conference,New,false,2025-04-30,,
LEAD000183,Avery,Kearney,avery.kearney183@outlook.com,Lakeshore Partners,Social,Qualified,true,2023-12-05,ACC00841,2023-12-19
LEAD000184,Elena,Thornton,elena.thornton184@compass.com,Summit Group,Conference,Working,true,2026-02-25,,
LEAD000185,Riley,Bautista,riley.bautista185@gmail.com,Ironwood Realty,Partner,Nurturing,true,2025-07-17,,
LEAD000186,Quinn,Rinaldi,quinn.rinaldi186@outlook.com,Cornerstone Partners,Social,Working,false,2023-09-05,,
LEAD000187,Felix,Delgado,felix.delgado187@outlook.com,Ridgeline Real Estate,Referral,Working,false,2026-03-02,,
LEAD000188,Theo,Delgado,theo.delgado188@gmail.com,Foxglove Group,Referral,Qualified,true,2025-04-23,ACC00812,2025-06-02
LEAD000189,Sasha,Castellanos,sasha.castellanos189@compass.com,Cypress Properties,Referral,Disqualified,false,2024-04-29,,
LEAD000190,Priya,Kearney,priya.kearney190@kw.com,Stonebridge & Co.,Conference,Nurturing,false,2024-09-22,,
LEAD000191,Rowan,Nakamura,rowan.nakamura191@realtyco.com,Blackwood Group,Conference,New,false,2025-03-16,,
LEAD000192,Bianca,Halvorsen,bianca.halvorsen192@kw.com,Summit Properties,Organic Search,Qualified,true,2026-06-05,,
LEAD000193,Julian,Kaplan,julian.kaplan193@compass.com,Beacon & Co.,Paid Search,Nurturing,true,2023-11-28,,
LEAD000194,Camille,Vasquez,camille.vasquez194@gmail.com,Ridgeline Group,Webinar,New,false,2023-10-11,,
LEAD000195,Noel,Okonkwo,noel.okonkwo195@realtyco.com,Cypress Partners,Webinar,Disqualified,false,2026-01-27,,
LEAD000196,Theo,Rinaldi,theo.rinaldi196@realtyco.com,Foxglove Real Estate,Social,New,false,2025-11-28,,
LEAD000197,Devin,Nakamura,devin.nakamura197@gmail.com,Cornerstone Realty,Partner,Qualified,true,2024-04-29,,
LEAD000198,Marcus,Bergstrom,marcus.bergstrom198@gmail.com,Beacon Realty,Organic Search,Nurturing,true,2025-03-05,,
LEAD000199,Quinn,Delgado,quinn.delgado199@compass.com,Ridgeline & Co.,,New,false,2026-03-14,,
LEAD000200,Bianca,Thornton,bianca.thornton200@outlook.com,Summit Real Estate,Organic Search,Qualified,false,2023-02-19,,
LEAD000201,Avery,Osei,avery.osei201@gmail.com,Ridgeline Partners,Organic Search,New,false,2025-08-20,,
LEAD000202,Jordan,Castellanos,jordan.castellanos202@outlook.com,Summit Realty,organic search,Working,true,2023-11-07,,
LEAD000203,Felix,Kaplan,felix.kaplan203@compass.com,Stonebridge Realty,organic search,New,false,2023-08-26,,
LEAD000204,Julian,Castellanos,julian.castellanos204@compass.com,Stonebridge & Co.,Social,New,false,2024-12-03,,
LEAD000205,Skyler,Okonkwo,skyler.okonkwo205@compass.com,Summit & Co.,Webinar,Working,true,2024-08-24,,
LEAD000206,Naomi,Lindqvist,naomi.lindqvist206@gmail.com,Blackwood Realty,Organic Search,New,false,2025-12-02,,
LEAD000207,Sasha,Petrova,sasha.petrova207@realtyco.com,Ridgeline Properties,Referral,Nurturing,true,2025-12-10,,
LEAD000208,Noel,Castellanos,noel.castellanos208@realtyco.com,Stonebridge Partners,Webinar,Working,false,2023-02-05,,
LEAD000209,Riley,Whitfield,riley.whitfield209@gmail.com,Cornerstone Partners,Cold Outreach,Qualified,true,2024-03-15,ACC00272,2024-03-19
LEAD000210,Elena,Delgado,elena.delgado210@kw.com,Blackwood Properties,Cold Outreach,Nurturing,true,2025-05-18,,
LEAD000211,Avery,Ahmed,avery.ahmed211@gmail.com,Ironwood Realty,,Disqualified,false,2023-06-03,,
LEAD000212,Devin,Nakamura,devin.nakamura212@outlook.com,Meridian Real Estate,Webinar,Working,true,2025-09-08,,
LEAD000213,Felix,Kaplan,felix.kaplan213@outlook.com,Ridgeline Properties,Partner,New,false,2025-06-02,,
LEAD000214,Marcus,Bautista,marcus.bautista214@outlook.com,Foxglove & Co.,Cold Outreach,Disqualified,false,2023-08-08,,
LEAD000215,Naomi,Whitfield,naomi.whitfield215@gmail.com,Meridian Group,,New,false,2024-03-30,,
LEAD000216,Noel,Halvorsen,noel.halvorsen216@realtyco.com,Meridian Realty,Social,Disqualified,false,2026-03-01,,
LEAD000217,Devin,Rinaldi,devin.rinaldi217@outlook.com,Cornerstone Group,Cold Outreach,Working,true,2026-04-23,,
LEAD000218,Morgan,Castellanos,morgan.castellanos218@compass.com,Summit Realty,Social,New,false,2024-05-29,,
LEAD000219,Owen,Moreau,owen.moreau219@kw.com,Cypress Properties,,Disqualified,false,2023-03-21,,
LEAD000220,Morgan,Rinaldi,morgan.rinaldi220@outlook.com,Ironwood Real Estate,Conference,New,false,2025-03-27,,
LEAD000221,Jordan,Kearney,jordan.kearney221@outlook.com,Meridian Realty,Organic Search,Working,false,2023-01-27,,
